#マップの情報(壁の当たり判定　x,y,w,h　上右下左の順)
0 0 960 30
920 40 40 920
0 920 960 40
0 40 40 920
#オブジェクトの画像情報(画像サイズ(w,h),当たり判定(x,y,w,h),トリガー(x,y,w,h))
#クリスタル
220 256 15 20 75 90 -5 0 115 130
#ポータル(on/off)
165 165 8 25 65 50 -10 0 102 100
165 165 8 25 65 50 -10 0 102 100
#スポナー
150 150 0 10 60 60 0 0 0 0
#オブジェクトの総数
9
#オブジェクトの情報(エリア,id,画像タイプ(type),座標(x,y),on/off)
#クリスタル
0 0 0 0.5 0.5 0
#ポータル
0 1 1 0.5 0.09 0
0 2 1 0.09 0.5 0
0 3 1 0.90 0.5 0
0 4 1 0.5 0.90 0
#スポナー
0 5 3 0.10 0.90 0
0 6 3 0.90 0.20 0
0 7 3 0.10 0.20 0
0 8 3 0.90 0.90 0
